year	u3
07/1993	6.9
08/1993	6.8
09/1993	6.7
10/1993	6.8
11/1993	6.6
12/1993	6.5
01/1994	6.6
02/1994	6.6
03/1994	6.5
04/1994	6.4
05/1994	6.1
06/1994	6.1
07/1994	6.1
08/1994	6
09/1994	5.9
10/1994	5.8
11/1994	5.6
12/1994	5.5
01/1995	5.6
02/1995	5.4
03/1995	5.4
04/1995	5.8
05/1995	5.6
06/1995	5.6
07/1995	5.7
08/1995	5.7
09/1995	5.6
10/1995	5.5
11/1995	5.6
12/1995	5.6
01/1996	5.6
02/1996	5.5
03/1996	5.5
04/1996	5.6
05/1996	5.6
06/1996	5.3
07/1996	5.5
08/1996	5.1
09/1996	5.2
10/1996	5.2
11/1996	5.4
12/1996	5.4
01/1997	5.3
02/1997	5.2
03/1997	5.2
04/1997	5.1
05/1997	4.9
06/1997	5
07/1997	4.9
08/1997	4.8
09/1997	4.9
10/1997	4.7
11/1997	4.6
12/1997	4.7
01/1998	4.6
02/1998	4.6
03/1998	4.7
04/1998	4.3
05/1998	4.4
06/1998	4.5
07/1998	4.5
08/1998	4.5
09/1998	4.6
10/1998	4.5
11/1998	4.4
12/1998	4.4
01/1999	4.3
02/1999	4.4
03/1999	4.2
04/1999	4.3
05/1999	4.2
06/1999	4.3
07/1999	4.3
08/1999	4.2
09/1999	4.2
10/1999	4.1
11/1999	4.1
12/1999	4
01/2000	4
02/2000	4.1
03/2000	4
04/2000	3.8
05/2000	4
06/2000	4
07/2000	4
08/2000	4.1
09/2000	3.9
10/2000	3.9
11/2000	3.9
12/2000	3.9
01/2001	4.2
02/2001	4.2
03/2001	4.3
04/2001	4.4
05/2001	4.3
06/2001	4.5
07/2001	4.6
08/2001	4.9
09/2001	5
10/2001	5.3
11/2001	5.5
12/2001	5.7
01/2002	5.7
02/2002	5.7
03/2002	5.7
04/2002	5.9
05/2002	5.8
06/2002	5.8
07/2002	5.8
08/2002	5.7
09/2002	5.7
10/2002	5.7
11/2002	5.9
12/2002	6
01/2003	5.8
02/2003	5.9
03/2003	5.9
04/2003	6
05/2003	6.1
06/2003	6.3
07/2003	6.2
08/2003	6.1
09/2003	6.1
10/2003	6
11/2003	5.8
12/2003	5.7
01/2004	5.7
02/2004	5.6
03/2004	5.8
04/2004	5.6
05/2004	5.6
06/2004	5.6
07/2004	5.5
08/2004	5.4
09/2004	5.4
10/2004	5.5
11/2004	5.4
12/2004	5.4
01/2005	5.3
02/2005	5.4
03/2005	5.2
04/2005	5.2
05/2005	5.1
06/2005	5
07/2005	5
08/2005	4.9
09/2005	5
10/2005	5
11/2005	5
12/2005	4.9
01/2006	4.7
02/2006	4.8
03/2006	4.7
04/2006	4.7
05/2006	4.6
06/2006	4.6
07/2006	4.7
08/2006	4.7
09/2006	4.5
10/2006	4.4
11/2006	4.5
12/2006	4.4
01/2007	4.6
02/2007	4.5
03/2007	4.4
04/2007	4.5
05/2007	4.4
06/2007	4.6
07/2007	4.7
08/2007	4.6
09/2007	4.7
10/2007	4.7
11/2007	4.7
12/2007	5
01/2008	5
02/2008	4.9
03/2008	5.1
04/2008	5
05/2008	5.4
06/2008	5.6
07/2008	5.8
08/2008	6.1
09/2008	6.1
10/2008	6.5
11/2008	6.8
12/2008	7.3
01/2009	7.8
02/2009	8.3
03/2009	8.7
04/2009	9
05/2009	9.4
06/2009	9.5
07/2009	9.5
08/2009	9.6
09/2009	9.8
10/2009	10
11/2009	9.9
12/2009	9.9
01/2010	9.8
02/2010	9.8
03/2010	9.9
04/2010	9.9
05/2010	9.6
06/2010	9.4
07/2010	9.4
08/2010	9.5
09/2010	9.5
10/2010	9.4
11/2010	9.8
12/2010	9.3
01/2011	9.1
02/2011	9
03/2011	9
04/2011	9.1
05/2011	9
06/2011	9.1
07/2011	9
08/2011	9
09/2011	9
10/2011	8.8
11/2011	8.6
12/2011	8.5
01/2012	8.3
02/2012	8.3
03/2012	8.2
04/2012	8.2
05/2012	8.2
06/2012	8.2
07/2012	8.2
08/2012	8.1
09/2012	7.8
10/2012	7.8
11/2012	7.7
12/2012	7.9
01/2013	8
02/2013	7.7
03/2013	7.5
04/2013	7.6
05/2013	7.5
06/2013	7.5
07/2013	7.3
08/2013	7.2
09/2013	7.2
10/2013	7.2
11/2013	6.9
12/2013	6.7
01/2014	6.6
02/2014	6.7
03/2014	6.7
04/2014	6.2
05/2014	6.3
06/2014	6.1
07/2014	6.2
08/2014	6.1
09/2014	5.9
10/2014	5.7
11/2014	5.8
12/2014	5.6
01/2015	5.7
02/2015	5.5
03/2015	5.4
04/2015	5.4
05/2015	5.6
06/2015	5.3
07/2015	5.2
08/2015	5.1
09/2015	5
10/2015	5
11/2015	5.1
12/2015	5
01/2016	4.8
02/2016	4.9
03/2016	5
04/2016	5.1
05/2016	4.8
06/2016	4.9
07/2016	4.8
08/2016	4.9
09/2016	5
10/2016	4.9
11/2016	4.7
12/2016	4.7
01/2017	4.7
02/2017	4.6
03/2017	4.4
04/2017	4.5
05/2017	4.4
06/2017	4.3
07/2017	4.3
08/2017	4.4
09/2017	4.2
10/2017	4.1
11/2017	4.2
12/2017	4.1
01/2018	4
02/2018	4.1
03/2018	4
04/2018	4
05/2018	3.8
06/2018	4
07/2018	3.8
08/2018	3.8
09/2018	3.7
10/2018	3.8
11/2018	3.8
12/2018	3.9
01/2019	4
02/2019	3.8
03/2019	3.8
04/2019	3.7
05/2019	3.7
06/2019	3.6
07/2019	3.6
08/2019	3.7
09/2019	3.5
10/2019	3.6
11/2019	3.6
12/2019	3.6
01/2020	3.5
02/2020	3.5
03/2020	4.4
04/2020	14.8
05/2020	13.3
06/2020	11.1
07/2020	10.2
08/2020	8.4
09/2020	7.8
10/2020	6.9
11/2020	6.7
12/2020	6.7
01/2021	6.3
02/2021	6.2
03/2021	6
04/2021	6.1
05/2021	5.8
06/2021	5.9
